id,url,header,address,amenities,crawler,crawled_at,Quarto,Banheiro,Garagem,condominio,preço,area_limpo,Vista exterior,Cabeamento estruturado,Circuito de segurança,Quadra poliesportiva,Espaço gourmet,Portaria 24h,Porcelanato,Ar-condicionado,Varanda,Acesso para deficientes,Piscina infantil,Gás Encanado,Fogão,Cozinha grande,Sala grande,Quintal,Salão de jogos,Janela grande,Isolamento térmico,Conexão à internet,Sala de jantar,Vigia,Copa,Janela de alumínio,Mobiliado,Spa,Bicicletário,Próximo a transporte público,Vista para lago,Ambientes integrados,Próximo a hospitais,Portão eletrônico,Sala de massagem,Mais de um andar,Armário embutido no quarto,Piso laminado,Espaço teen,Condomínio fechado,Interfone,Área de serviço,Cozinha,Churrasqueira,Perto de vias de acesso,Móvel planejado,Hall de entrada,Espaço verde / Parque,Vista para a montanha,Área de lazer,Escritório,Salão de festas,Quadra de tênis,Churrasqueira na varanda,Jardim,Depósito,Cozinha americana,Vista para o mar,Piscina para adulto,Recepção,Elevador,Próximo a shopping,Piso de madeira,Sauna,Andar inteiro,Armário na cozinha,Pista de cooper,Piscina,Closet,Armário embutido,Aceita animais,Aquecimento,TV a cabo,Box blindex,Varanda gourmet,Próximo a escola,Lavanderia,Segurança 24h,Gerador elétrico,Playground,Despensa,Academia,Estacionamento para visitantes,Lavabo,Gesso - Sanca - Teto Rebaixado,Sistema de alarme
2510805088,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-80m2-aluguel-RS1500-id-2510805088/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Americana, 52 - Cachambi, Rio de Janeiro - RJ","Varanda gourmet, Aceita animais",cachambi,2021-04-04 14:29:00,2.0,1.0,0,252.0,1500.0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2510838577,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-50m2-aluguel-RS700-id-2510838577/,"Apartamento com 2 Quartos para Aluguel, 50m²","Cachambi, Rio de Janeiro - RJ","Elevador, Playground, Salão de festas, Interfone",cachambi,2021-04-04 14:29:00,2.0,1.0,0,508.0,700.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2505063190,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-65m2-aluguel-RS990-id-2505063190/,"Apartamento com 2 Quartos para Aluguel, 65m²","Rua Americana, 74 - Cachambi, Rio de Janeiro - RJ",Condomínio fechado,cachambi,2021-04-04 14:29:00,2.0,1.0,0,252.0,990.0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463581716,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-57m2-aluguel-RS800-id-2463581716/,"Apartamento com Quarto para Aluguel, 57m²","Rua Getúlio - Cachambi, Rio de Janeiro - RJ","Piscina, Varanda, Playground, Salão de festas, Gás Encanado",cachambi,2021-04-04 14:29:00,1.0,1.0,0,550.0,800.0,57,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2511486643,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-73m2-aluguel-RS1500-id-2511486643/,"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Itamaracá - Cachambi, Rio de Janeiro - RJ",,cachambi,2021-04-04 14:29:00,2.0,2.0,0,212.0,1500.0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2473022790,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-58m2-aluguel-RS900-id-2473022790/,"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Tenente Franca - Cachambi, Rio de Janeiro - RJ","Playground, Salão de festas, Salão de jogos, Quadra poliesportiva, Área de lazer",cachambi,2021-04-04 14:29:00,2.0,1.0,0,514.0,900.0,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2513012885,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-60m2-aluguel-RS1000-id-2513012885/,"Apartamento com 2 Quartos para Aluguel, 60m²","Cachambi, Rio de Janeiro - RJ",Interfone,cachambi,2021-04-04 14:29:00,2.0,1.0,0,330.0,1000.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2502789377,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-68m2-aluguel-RS1800-id-2502789377/,"Apartamento com 2 Quartos para Aluguel, 68m²","Cachambi, Rio de Janeiro - RJ","Piscina, Varanda, Academia, Interfone",cachambi,2021-04-04 14:29:00,2.0,2.0,0,585.0,1800.0,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2508700298,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-55m2-aluguel-RS1850-id-2508700298/,"Apartamento com 2 Quartos para Aluguel, 55m²","Cachambi, Rio de Janeiro - RJ","Piscina, Varanda, Churrasqueira, Área de serviço, Circuito de segurança",cachambi,2021-04-04 14:29:00,2.0,2.0,0,481.0,1850.0,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505062601,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-62m2-aluguel-RS1100-id-2505062601/,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Americana, 62 - Cachambi, Rio de Janeiro - RJ",Condomínio fechado,cachambi,2021-04-04 14:29:00,2.0,1.0,0,252.0,1100.0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505061632,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-62m2-aluguel-RS1050-id-2505061632/,"Apartamento com 2 Quartos para Aluguel, 62m²","Rua Americana, 52 - Cachambi, Rio de Janeiro - RJ",Condomínio fechado,cachambi,2021-04-04 14:29:00,2.0,1.0,0,252.0,1050.0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509001905,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-70m2-aluguel-RS1100-id-2509001905/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Miguel Ângelo - Cachambi, Rio de Janeiro - RJ",,cachambi,2021-04-04 14:29:00,2.0,2.0,0,500.0,1100.0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513231364,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-45m2-aluguel-RS650-id-2513231364/,"Apartamento com Quarto para Aluguel, 45m²","Rua Capitão Jesus, 123 - Cachambi, Rio de Janeiro - RJ","Churrasqueira, Elevador, Condomínio fechado, Área de serviço, Playground",cachambi,2021-04-04 14:29:00,1.0,1.0,0,545.0,650.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2447325710,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-53m2-aluguel-RS900-id-2447325710/,"Apartamento com 2 Quartos para Aluguel, 53m²","Rua Cachambi - Cachambi, Rio de Janeiro - RJ",Varanda,cachambi,2021-04-04 14:29:00,2.0,2.0,0,500.0,900.0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
