iter	Passed	Remaining
402	10428	15448
403	10450	15417
404	10473	15387
405	10496	15356
406	10519	15326
407	10543	15297
408	10565	15266
409	10587	15236
410	10615	15213
411	10637	15181
412	10658	15149
413	10681	15119
414	10703	15087
415	10725	15056
416	10747	15025
417	10769	14994
418	10791	14963
419	10813	14933
420	10836	14903
421	10857	14871
422	10880	14841
423	10902	14810
424	10927	14784
425	10958	14765
426	10981	14735
427	11003	14705
428	11025	14674
429	11046	14643
430	11068	14612
431	11090	14581
432	11112	14551
433	11134	14521
434	11155	14489
435	11177	14458
436	11198	14427
437	11221	14397
438	11242	14366
439	11264	14336
440	11285	14304
441	11307	14275
442	11329	14245
443	11353	14217
444	11375	14187
445	11396	14156
446	11419	14127
447	11441	14097
448	11464	14069
449	11487	14040
450	11509	14010
451	11531	13981
452	11553	13950
453	11574	13919
454	11597	13890
455	11620	13863
456	11643	13834
457	11665	13805
458	11687	13775
459	11709	13746
460	11732	13717
461	11754	13687
462	11777	13659
463	11799	13630
464	11821	13601
465	11843	13571
466	11864	13541
467	11886	13512
468	11909	13484
469	11933	13457
470	11956	13429
471	11978	13399
472	12000	13370
473	12023	13342
474	12045	13313
475	12067	13284
476	12089	13254
477	12111	13226
478	12132	13196
479	12155	13167
480	12177	13139
481	12199	13110
482	12220	13080
483	12241	13050
484	12264	13022
485	12286	12994
486	12308	12965
487	12331	12937
488	12353	12909
489	12376	12881
490	12398	12853
491	12420	12824
492	12442	12796
493	12465	12768
494	12487	12739
495	12509	12711
496	12532	12683
497	12554	12654
498	12576	12626
499	12597	12597
500	12619	12569
501	12641	12540
502	12668	12517
503	12698	12497
504	12758	12505
505	12783	12480
506	12809	12455
507	12836	12431
508	12861	12407
509	12889	12384
510	12913	12357
511	12936	12330
512	12959	12302
513	12981	12274
514	13003	12245
515	13026	12218
516	13048	12190
517	13070	12162
518	13093	12134
519	13115	12106
520	13137	12078
521	13159	12050
522	13182	12023
523	13204	11995
524	13227	11967
525	13250	11940
526	13272	11912
527	13294	11884
528	13316	11856
529	13338	11828
530	13362	11802
531	13385	11774
532	13407	11746
533	13428	11718
534	13449	11690
535	13471	11661
536	13493	11634
537	13514	11605
538	13537	11578
539	13559	11550
540	13581	11523
541	13603	11495
542	13625	11467
543	13647	11439
544	13670	11413
545	13692	11385
546	13715	11358
547	13736	11330
548	13758	11302
549	13780	11275
550	13803	11248
551	13826	11221
552	13849	11194
553	13871	11167
554	13893	11140
555	13917	11113
556	13940	11086
557	13961	11059
558	13986	11033
559	14008	11006
560	14032	10981
561	14055	10954
562	14077	10927
563	14102	10901
564	14124	10874
565	14146	10847
566	14169	10820
567	14191	10793
568	14213	10766
569	14235	10739
570	14257	10711
571	14278	10683
572	14300	10656
573	14323	10630
574	14345	10602
575	14366	10575
576	14387	10547
577	14410	10520
578	14431	10493
579	14453	10466
580	14476	10439
581	14498	10413
582	14520	10386
583	14543	10359
584	14566	10333
585	14588	10306
586	14610	10279
587	14633	10253
588	14656	10226
589	14677	10199
590	14706	10177
591	14732	10153
592	14759	10129
593	14785	10105
594	14812	10082
595	14841	10060
596	14866	10035
597	14894	10012
598	14924	9991
599	14947	9965
600	14970	9938
601	14993	9912
602	15017	9887
603	15040	9860
604	15062	9834
605	15083	9807
606	15106	9780
607	15134	9757
608	15159	9733
609	15187	9709
610	15212	9685
611	15238	9661
612	15270	9640
613	15293	9614
614	15314	9587
615	15343	9564
616	15366	9538
617	15388	9512
618	15411	9485
619	15433	9459
620	15458	9434
621	15485	9410
622	15509	9385
623	15535	9361
624	15560	9336
625	15586	9312
626	15611	9287
627	15640	9264
628	15667	9240
629	15691	9215
630	15718	9191
631	15743	9167
632	15771	9143
633	15795	9118
634	15820	9093
635	15843	9067
636	15867	9042
637	15890	9016
638	15915	8991
639	15938	8965
640	15964	8941
641	15989	8916
642	16015	8892
643	16042	8868
644	16070	8845
645	16096	8820
646	16120	8795
647	16145	8770
648	16169	8745
649	16192	8719
650	16215	8693
651	16238	8666
652	16260	8640
653	16284	8615
654	16306	8589
655	16331	8563
656	16355	8538
657	16380	8513
658	16404	8488
659	16430	8464
660	16473	8448
661	16531	8440
662	16576	8425
663	16610	8405
664	16650	8387
665	16695	8372
666	16737	8356
667	16776	8337
668	16804	8314
669	16830	8289
670	16854	8264
671	16881	8239
672	16912	8217
673	16938	8192
674	16984	8177
675	17022	8158
676	17063	8141
677	17102	8122
678	17146	8106
679	17186	8087
680	17262	8086
681	17297	8065
682	17339	8047
683	17378	8028
684	17438	8019
685	17487	8004
686	17531	7987
687	17570	7967
688	17594	7941
689	17616	7914
690	17642	7889
691	17669	7864
692	17694	7838
693	17717	7812
694	17740	7785
695	17763	7758
696	17784	7731
697	17807	7704
698	17829	7677
699	17850	7650
700	17871	7622
701	17895	7596
702	17921	7571
703	17946	7545
704	17970	7519
705	17996	7494
706	18023	7469
707	18047	7443
708	18076	7419
709	18111	7397
710	18139	7372
711	18164	7347
712	18189	7321
713	18214	7296
714	18241	7271
715	18267	7245
716	18315	7229
717	18343	7204
718	18368	7178
719	18394	7153
720	18421	7128
721	18446	7102
722	18473	7077
723	18500	7052
724	18526	7027
725	18552	7001
726	18578	6976
727	18606	6952
728	18643	6930
729	18677	6907
730	18701	6881
731	18724	6855
732	18750	6830
733	18776	6804
734	18802	6779
735	18829	6753
736	18851	6727
737	18873	6700
738	18898	6674
739	18921	6647
740	18942	6620
741	18964	6594
742	18986	6567
743	19007	6540
744	19030	6513
745	19052	6487
746	19077	6461
747	19103	6435
748	19133	6412
749	19158	6386
750	19181	6359
751	19210	6335
752	19237	6310
753	19268	6286
754	19316	6268
755	19366	6250
756	19415	6232
757	19444	6207
758	19467	6181
759	19491	6155
760	19516	6129
761	19540	6103
762	19573	6079
763	19602	6055
764	19630	6030
765	19652	6003
766	19675	5976
767	19698	5950
768	19724	5924
769	19749	5899
770	19774	5873
771	19798	5847
772	19820	5820
773	19850	5796
774	19874	5770
775	19898	5743
776	19921	5717
777	19946	5691
778	19970	5665
779	19995	5639
780	20018	5613
781	20041	5586
782	20064	5560
783	20086	5534
784	20108	5507
785	20134	5481
786	20161	5456
787	20192	5432
788	20218	5406
789	20245	5381
790	20270	5355
791	20293	5329
792	20316	5303
793	20343	5278
794	20368	5252
795	20393	5226
796	20418	5200
797	20444	5175
798	20473	5150
799	20501	5125
800	20527	5099
801	20552	5074
802	20578	5048
803	20602	5022
804	20628	4996
805	20653	4971
806	20682	4946
807	20707	4920
808	20732	4894
809	20758	4869
810	20783	4843
811	20811	4818
812	20839	4793
813	20863	4767
814	20886	4741
815	20909	4714
816	20931	4688
817	20954	4662
818	20975	4635
819	20998	4609
820	21020	4582
821	21042	4556
822	21064	4530
823	21091	4505
824	21114	4478
825	21136	4452
826	21158	4426
827	21183	4400
828	21246	4382
829	21272	4357
830	21299	4331
831	21342	4309
832	21396	4289
833	21462	4271
834	21495	4247
835	21523	4222
836	21552	4197
837	21579	4171
838	21604	4145
839	21628	4119
840	21659	4094
841	21691	4070
842	21716	4044
843	21743	4019
844	21772	3993
845	21802	3968
846	21830	3943
847	21866	3919
848	21893	3893
849	21921	3868
850	21949	3843
851	21977	3817
852	22009	3793
853	22040	3767
854	22139	3754
855	22167	3729
856	22203	3704
857	22231	3679
858	22254	3652
859	22276	3626
860	22302	3600
861	22330	3574
862	22356	3549
863	22384	3523
864	22409	3497
865	22465	3476
866	22495	3450
867	22526	3425
868	22554	3399
869	22582	3374
870	22615	3349
871	22644	3323
872	22672	3298
873	22700	3272
874	22733	3247
875	22769	3223
876	22820	3200
877	22865	3177
878	22899	3152
879	22937	3127
880	22987	3104
881	23045	3083
882	23077	3057
883	23112	3032
884	23146	3007
885	23182	2982
886	23221	2958
887	23272	2935
888	23315	2911
889	23346	2885
890	23375	2859
891	23407	2834
892	23436	2808
893	23465	2782
894	23496	2756
895	23523	2730
896	23551	2704
897	23584	2678
898	23611	2652
899	23643	2627
900	23670	2600
901	23698	2574
902	23727	2548
903	23756	2522
904	23784	2496
905	23813	2470
906	23842	2444
907	23869	2418
908	23894	2392
909	23921	2365
910	23955	2340
911	23989	2314
912	24015	2288
913	24044	2262
914	24072	2236
915	24101	2210
916	24132	2184
917	24159	2158
918	24185	2131
919	24214	2105
920	24238	2079
921	24261	2052
922	24289	2026
923	24325	2000
924	24352	1974
925	24379	1948
926	24410	1922
927	24440	1896
928	24471	1870
929	24494	1843
930	24522	1817
931	24545	1790
932	24567	1764
933	24588	1737
934	24610	1710
935	24636	1684
936	24660	1658
937	24684	1631
938	24711	1605
939	24741	1579
940	24766	1552
941	24794	1526
942	24820	1500
943	24844	1473
944	24867	1447
945	24898	1421
946	24922	1394
947	24948	1368
948	24970	1341
949	24991	1315
950	25015	1288
951	25036	1262
952	25058	1235
953	25079	1209
954	25101	1182
955	25123	1156
956	25148	1129
957	25171	1103
958	25193	1077
959	25216	1050
960	25238	1024
961	25260	997
962	25283	971
963	25305	945
964	25326	918
965	25348	892
966	25369	865
967	25393	839
968	25415	813
969	25437	786
970	25458	760
971	25480	734
972	25502	707
973	25525	681
974	25548	655
975	25571	628
976	25593	602
977	25616	576
978	25638	549
979	25661	523
980	25683	497
981	25705	471
982	25727	444
983	25749	418
984	25771	392
985	25794	366
986	25817	340
987	25840	313
988	25862	287
989	25884	261
990	25906	235
991	25927	209
992	25949	182
993	25971	156
994	25994	130
995	26017	104
996	26040	78
997	26062	52
998	26085	26
999	26107	0
